baseline,dataset,model,kc,poison_rate,seed,baseline_clean_acc_pct,adaptive_clean_acc_pct,clean_acc_adaptive_improvement_pp,baseline_valid_asr_pct,adaptive_valid_asr_pct,valid_asr_adaptive_improvement_pp,baseline_wrong_asr_pct,adaptive_wrong_asr_pct,wrong_asr_adaptive_improvement_pp,baseline_single_leak_pct,adaptive_single_leak_pct,single_leak_adaptive_improvement_pp,baseline_invalid_leak_pct,adaptive_invalid_leak_pct,invalid_leak_adaptive_improvement_pp,baseline_csg_pct,adaptive_csg_pct,csg_adaptive_improvement_pp
full,cifar10,resnet18,4,0.01,0,93.78,93.85,0.07000000000000339,99.78055555555555,99.82777777777778,0.047222222222231824,0.15555555555555556,0.13333333333333333,0.02222222222222222,2.1187500000000004,1.39,0.7287500000000002,2.2075,2.2191666666666663,-0.011666666666666423,97.57305555555556,97.60861111111112,0.03555555555556644
full,cifar10,resnet18,4,0.01,1,93.83,94.07,0.23999999999999577,99.93333333333334,99.95,0.01666666666666483,0.06666666666666667,0.07777777777777778,-0.01111111111111111,1.90875,2.40625,-0.49750000000000005,2.39,2.5108333333333333,-0.12083333333333321,97.54333333333334,97.43916666666668,-0.10416666666666075
full,cifar10,resnet18,4,0.01,2,93.82000000000001,94.31,0.49000000000000155,99.85833333333333,99.82222222222222,-0.036111111111114536,0.12222222222222222,0.12222222222222222,0.0,1.805,1.585,0.22000000000000006,2.1533333333333333,2.1566666666666667,-0.003333333333333313,97.70500000000001,97.66555555555556,-0.0394444444444475
naive_dual,cifar10,resnet18,4,0.01,0,94.39999999999999,93.85,-0.5499999999999949,99.97222222222223,99.82777777777778,-0.14444444444444704,0.044444444444444446,0.13333333333333333,-0.08888888888888888,46.94625,1.39,45.55625,89.935,2.2191666666666663,87.71583333333332,10.03722222222223,97.60861111111112,87.57138888888889
naive_dual,cifar10,resnet18,4,0.01,1,94.27,94.07,-0.20000000000000018,99.9638888888889,99.95,-0.01388888888889106,0.044444444444444446,0.07777777777777778,-0.033333333333333326,55.0075,2.40625,52.60125,88.87916666666666,2.5108333333333333,86.36833333333334,11.084722222222233,97.43916666666668,86.35444444444444
naive_dual,cifar10,resnet18,4,0.01,2,93.89999999999999,94.31,0.41000000000001036,99.85277777777777,99.82222222222222,-0.03055555555554479,0.15555555555555556,0.12222222222222222,0.033333333333333326,47.760000000000005,1.585,46.175000000000004,89.33250000000001,2.1566666666666667,87.17583333333334,10.520277777777764,97.66555555555556,87.14527777777779
single,cifar10,resnet18,4,0.01,0,93.85,93.85,0.0,100.0,99.82777777777778,-0.17222222222221806,0.0,0.13333333333333333,-0.13333333333333333,89.87625,1.39,88.48625,88.42166666666667,2.2191666666666663,86.2025,10.123749999999998,97.60861111111112,87.48486111111113
single,cifar10,resnet18,4,0.01,1,93.95,94.07,0.11999999999999789,100.0,99.95,-0.04999999999999449,0.0,0.07777777777777778,-0.07777777777777778,89.90875,2.40625,87.50250000000001,87.3075,2.5108333333333333,84.79666666666668,10.091249999999995,97.43916666666668,87.34791666666668
single,cifar10,resnet18,4,0.01,2,93.89,94.31,0.42000000000000925,100.0,99.82222222222222,-0.1777777777777767,0.0,0.12222222222222222,-0.12222222222222222,89.90125,1.585,88.31625,87.49249999999999,2.1566666666666667,85.33583333333333,10.09875,97.66555555555556,87.56680555555556
wo_invalid,cifar10,resnet18,4,0.01,0,94.08,93.85,-0.22999999999999687,99.75277777777778,99.82777777777778,0.07500000000000284,0.2555555555555556,0.13333333333333333,0.12222222222222225,1.7437500000000001,1.39,0.35375000000000023,17.45916666666667,2.2191666666666663,15.24,82.2936111111111,97.60861111111112,15.315000000000012
wo_invalid,cifar10,resnet18,4,0.01,1,93.92,94.07,0.14999999999999458,99.69444444444444,99.95,0.2555555555555644,0.14444444444444443,0.07777777777777778,0.06666666666666667,2.0725000000000002,2.40625,-0.33375,18.975,2.5108333333333333,16.464166666666667,80.71944444444445,97.43916666666668,16.719722222222234
wo_invalid,cifar10,resnet18,4,0.01,2,93.95,94.31,0.36000000000000476,99.79444444444445,99.82222222222222,0.027777777777771018,0.24444444444444444,0.12222222222222222,0.12222222222222222,2.1725000000000003,1.585,0.5875000000000001,23.358333333333334,2.1566666666666667,21.201666666666664,76.43611111111112,97.66555555555556,21.229444444444447
full,cifar10,resnet18,4,0.05,0,94.06,94.27,0.20999999999999908,100.0,99.99444444444445,-0.005555555555547542,0.0,0.0,0.0,1.1375,1.08375,0.05374999999999998,1.6158333333333335,1.7475,-0.13166666666666674,98.38416666666666,98.24694444444445,-0.1372222222222108
full,cifar10,resnet18,4,0.05,1,94.06,94.17999999999999,0.11999999999999789,99.99444444444445,99.99166666666667,-0.0027777777777848733,0.0,0.011111111111111112,-0.011111111111111112,1.2012500000000002,1.10625,0.09500000000000011,1.6808333333333334,1.5125,0.16833333333333353,98.31361111111111,98.47916666666667,0.16555555555555213
full,cifar10,resnet18,4,0.05,2,93.97,94.12,0.15000000000000568,100.0,99.9888888888889,-0.011111111111106187,0.0,0.011111111111111112,-0.011111111111111112,0.9787499999999999,0.84625,0.13249999999999998,1.4825,1.3575,0.12499999999999994,98.5175,98.63138888888889,0.11388888888889115
naive_dual,cifar10,resnet18,4,0.05,0,93.81,94.27,0.45999999999999375,99.99444444444445,99.99444444444445,0.0,0.011111111111111112,0.0,0.011111111111111112,46.46375,1.08375,45.379999999999995,90.05416666666667,1.7475,88.30666666666667,9.940277777777784,98.24694444444445,88.30666666666667
naive_dual,cifar10,resnet18,4,0.05,1,93.92,94.17999999999999,0.25999999999999357,99.98333333333332,99.99166666666667,0.008333333333343518,0.022222222222222223,0.011111111111111112,0.011111111111111112,47.0425,1.10625,45.93625,89.7925,1.5125,88.28,10.190833333333327,98.47916666666667,88.28833333333334
